block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,last_update,launches,serial,status,id
5.0,12.0,1.0,1.0,12.0,12.0,Stage Expended,"['5eb87d2bffd86e000604b375', '5eb87d31ffd86e000604b379', '5eb87d3fffd86e000604b382', '5eb87d44ffd86e000604b386', '5ed9819a1f30554030d45c29', '5ef6a2bf0059c33cee4a828c', '5eb87d4bffd86e000604b38c', '5fbfecce54ceb10a5664c80a', '600f9a8d8f798e2a4d5f979e', '6079bd1c9a06446e8c61bf76', '61bba806437241381bf7061e', '6234908cf051102e1fcedac4', '62a9f0f820413d2695d88714']",B1051,expended,5e9e28a6f35918c0803b265c
5.0,6.0,3.0,3.0,4.0,4.0,Landed on JRTI as of Sep 5 2022,"['5eb87d2dffd86e000604b376', '5eb87d35ffd86e000604b37a', '6161d32d6db1a92bfba85359', '61fc0243e0dc5662b76489ae', '62615ebc0ec008379be596fa', '62a9f86420413d2695d88719', '62f3b5330f55c50e192a4e6e']",B1052,active,5e9e28a6f359183c413b265d
5.0,1.0,2.0,2.0,0.0,0.0,"Landed at LZ-2 as of Jun 25, 2019.","['5eb87d2dffd86e000604b376', '5eb87d35ffd86e000604b37a']",B1053,active,5e9e28a6f359188fd53b265e
5.0,0.0,0.0,0.0,1.0,1.0,Toppled by rough seas and broken in two after safely landing aboard OCISLY,['5eb87d2dffd86e000604b376'],B1055,lost,5e9e28a6f3591897453b265f
5.0,3.0,1.0,1.0,2.0,2.0,Missed the droneship and made successful water landing; apparently scuttled at sea afterward. ,"['5eb87d2effd86e000604b377', '5eb87d36ffd86e000604b37b', '5eb87d3bffd86e000604b37f', '5eb87d41ffd86e000604b383']",B1056,lost,5e9e28a7f3591809313b2660
5.0,0.0,0.0,0.0,0.0,0.0,Exploded upon ocean impact a safe distance from OCISLY,['5eb87d35ffd86e000604b37a'],B1057,lost,5e9e28a7f3591878063b2661
5.0,5.0,3.0,3.0,2.0,2.0,Exploded upon ocean impact a safe distance from OCISLY,"['5eb87d39ffd86e000604b37e', '5eb87d42ffd86e000604b384', '5eb87d46ffd86e000604b389', '5eb87d47ffd86e000604b38a', '5f8399fb818d8b59f5740d43', '600f9a5e8f798e2a4d5f979c']",B1059,lost,5e9e28a7f359187afd3b2662
5.0,13.0,1.0,1.0,13.0,13.0,"Landed on ASOG as of Sep 11, 2022","['5eb87d46ffd86e000604b388', '5eb87d50ffd86e000604b394', '5ef6a2090059c33cee4a828b', '5eb87d4effd86e000604b391', '5fd386aa7faea57d297c86c1', '600f9a718f798e2a4d5f979d', '60428ac4c041c16716f73cd8', '605b4b95aa5433645e37d041', '618faad2563d69573ed8ca9d', '61bf3e31cd5ab50b0d936345', '61fc01dae0dc5662b76489a7', '62582a855988f159024b964c', '62a9f0c920413d2695d88712', '62a9f89a20413d2695d8871a']",B1058,active,5e9e28a7f3591817f23b2663
5.0,12.0,1.0,1.0,12.0,12.0,"Landed on ASOG as of Oct 8, 2022.","['5eb87d4affd86e000604b38b', '5ef6a1e90059c33cee4a828a', '5ef6a2e70059c33cee4a8293', '5eb87d4fffd86e000604b393', '5ff6554f9257f579ee3a6c5f', '60428aafc041c16716f73cd7', '605b4b6aaa5433645e37d03f', '600f9b6d8f798e2a4d5f979f', '6161c94c6db1a92bfba85349', '61e048bbbe8d8b66799018d0', '61fc0224e0dc5662b76489ab', '6243ada6af52800c6e919253', '6278481757b51b752c5c5a5f']",B1060,active,5ef670f10059c33cee4a826c
5.0,9.0,1.0,1.0,9.0,9.0,"Landed at OCISLY as of Aug 12, 2022.","['5eb87d4dffd86e000604b38e', '5fe3af58b3467846b324215f', '5fe3af6db3467846b3242160', '5fe3b11eb3467846b324216c', '6161c88d6db1a92bfba85348', '61e048ffbe8d8b66799018d1', '6243ad8baf52800c6e919252', '6243ae24af52800c6e919258', '62a9f08b20413d2695d88711', '62f3b4ff0f55c50e192a4e6b']",B1061,active,5f57c53d0622a6330279009f
5.0,8.0,0.0,0.0,9.0,9.0,"Landed on ASOG as of Oct 20, 2022.","['5eb87d4cffd86e000604b38d', '5eb87d4effd86e000604b390', '607a37565a906a44023e0866', '61d5eca1f88e4c5fc91f1eb7', '61eefaa89eb1064137a1bd73', '62582a6f5988f159024b964b', '6243ae0aaf52800c6e919257', '62a9f12820413d2695d88716', '62f3b5200f55c50e192a4e6c']",B1062,active,5f57c5440622a633027900a0
5.0,6.0,1.0,1.0,6.0,6.0,"Landed on OCISLY as of Oct 28, 2022","['5ed983aa1f30554030d45c31', '6079bd399a06446e8c61bf77', '5fe3b107b3467846b324216b', '61fc0203e0dc5662b76489a8', '6258290d5988f159024b9644', '62a9f0e320413d2695d88713', '62f3b53a0f55c50e192a4e6f']",B1063,active,5f57c54a0622a633027900a1
5.0,0.0,0.0,0.0,0.0,0.0,"Landed at LZ-1 as of Nov 1, 2022.",[],B1064,active,5fe3b8f2b3467846b3242181
5.0,0.0,0.0,0.0,0.0,0.0,"Landed at LZ-1 as of Nov 1, 2022.",[],B1065,active,5fe3b8fbb3467846b3242182
5.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,[],B1066,expended,5fe3b906b3467846b3242183
5.0,5.0,0.0,0.0,6.0,6.0,"Landed on JRTI as of Nov 3, 2022","['5fe3af84b3467846b3242161', '5fe3b15eb3467846b324216d', '5fe3afc1b3467846b3242164', '6243ade2af52800c6e919255', '6243ae40af52800c6e919259', '63161329ffc78f3b8567070b']",B1067,active,60b800111f83cc1e59f16438
5.0,1.0,0.0,0.0,2.0,2.0,"Landed on JRTI as of Oct 15, 2022","['6161d2006db1a92bfba85356', '62f3b5290f55c50e192a4e6d']",B1069,active,61c1ef45a4a2462678cbf45d
5.0,0.0,0.0,0.0,0.0,0.0,,[],B1068,active,61c1ef4fa4a2462678cbf45e
5.0,0.0,0.0,0.0,0.0,0.0,,[],B1070,active,61fae58d7aa67176fe3e0e1d
5.0,3.0,3.0,3.0,1.0,1.0,"Landed at OCISLY as of Oct 22, 2022","['607a34e35a906a44023e085e', '6243adcaaf52800c6e919254', '5fe3af43b3467846b324215e', '62a9f10b20413d2695d88715']",B1071,active,61fae5947aa67176fe3e0e1e
5.0,0.0,0.0,0.0,1.0,1.0,,['63161339ffc78f3b8567070c'],B1072,active,627843d657b51b752c5c5a53
5.0,2.0,0.0,0.0,3.0,3.0,"Landed at ASOG as of Sep 25, 2022","['625828f25988f159024b9643', '6243aea5af52800c6e91925c', '62a9f8b320413d2695d8871b']",B1073,active,627843db57b51b752c5c5a54
5.0,0.0,0.0,0.0,0.0,0.0,,[],B1074,active,627843de57b51b752c5c5a55
5.0,0.0,0.0,0.0,0.0,0.0,,[],B1075,active,627843e257b51b752c5c5a56
5.0,0.0,0.0,0.0,0.0,0.0,"Landed on JRTI as of Nov 26, 2022",[],B1076,active,633d9da235a71d1d9c66797a
5.0,0.0,0.0,0.0,1.0,1.0,"Landed on JRTI as of Oct 5, 2022",['62dd70d5202306255024d139'],B1077,active,633d9da635a71d1d9c66797b
